enabled,kind,pattern,replacement,scope,flags,note
1,literal,Ｑ,Q,outside,,"角括弧外のみ Ｑ→Q（既存ルールのCSV化）"
1,regex,・,・,everywhere,,"例：そのまま（将来別文字へ正規化する場合）"
0,regex,(?<=\d)\s*-\s*(?=\d),–,outside,,"例：数字-数字 → en dash（無効行の例）"
1,regex,→,->,outside,,"矢印の統一（角括弧内/フェンス内は除外）"
1,regex,　+, ,outside,,"全角スペースの最小1→半角1"
1,literal,０,0,outside,,"全角→半角digit"
1,literal,１,1,outside,,"全角→半角digit"
1,literal,２,2,outside,,"全角→半角digit"
1,literal,３,3,outside,,"全角→半角digit"
1,literal,４,4,outside,,"全角→半角digit"
1,literal,５,5,outside,,"全角→半角digit"
1,literal,６,6,outside,,"全角→半角digit"
1,literal,７,7,outside,,"全角→半角digit"
1,literal,８,8,outside,,"全角→半角digit"
1,literal,９,9,outside,,"全角→半角digit"
1,literal,Ａ,A,outside,,"全角→半角upper"
1,literal,Ｂ,B,outside,,"全角→半角upper"
1,literal,Ｃ,C,outside,,"全角→半角upper"
1,literal,Ｄ,D,outside,,"全角→半角upper"
1,literal,Ｅ,E,outside,,"全角→半角upper"
1,literal,Ｆ,F,outside,,"全角→半角upper"
1,literal,Ｇ,G,outside,,"全角→半角upper"
1,literal,Ｈ,H,outside,,"全角→半角upper"
1,literal,Ｉ,I,outside,,"全角→半角upper"
1,literal,Ｊ,J,outside,,"全角→半角upper"
1,literal,Ｋ,K,outside,,"全角→半角upper"
1,literal,Ｌ,L,outside,,"全角→半角upper"
1,literal,Ｍ,M,outside,,"全角→半角upper"
1,literal,Ｎ,N,outside,,"全角→半角upper"
1,literal,Ｏ,O,outside,,"全角→半角upper"
1,literal,Ｐ,P,outside,,"全角→半角upper"
1,literal,Ｑ,Q,outside,,"全角→半角upper"
1,literal,Ｒ,R,outside,,"全角→半角upper"
1,literal,Ｓ,S,outside,,"全角→半角upper"
1,literal,Ｔ,T,outside,,"全角→半角upper"
1,literal,Ｕ,U,outside,,"全角→半角upper"
1,literal,Ｖ,V,outside,,"全角→半角upper"
1,literal,Ｗ,W,outside,,"全角→半角upper"
1,literal,Ｘ,X,outside,,"全角→半角upper"
1,literal,Ｙ,Y,outside,,"全角→半角upper"
1,literal,Ｚ,Z,outside,,"全角→半角upper"
1,literal,ａ,a,outside,,"全角→半角lower"
1,literal,ｂ,b,outside,,"全角→半角lower"
1,literal,ｃ,c,outside,,"全角→半角lower"
1,literal,ｄ,d,outside,,"全角→半角lower"
1,literal,ｅ,e,outside,,"全角→半角lower"
1,literal,ｆ,f,outside,,"全角→半角lower"
1,literal,ｇ,g,outside,,"全角→半角lower"
1,literal,ｈ,h,outside,,"全角→半角lower"
1,literal,ｉ,i,outside,,"全角→半角lower"
1,literal,ｊ,j,outside,,"全角→半角lower"
1,literal,ｋ,k,outside,,"全角→半角lower"
1,literal,ｌ,l,outside,,"全角→半角lower"
1,literal,ｍ,m,outside,,"全角→半角lower"
1,literal,ｎ,n,outside,,"全角→半角lower"
1,literal,ｏ,o,outside,,"全角→半角lower"
1,literal,ｐ,p,outside,,"全角→半角lower"
1,literal,ｑ,q,outside,,"全角→半角lower"
1,literal,ｒ,r,outside,,"全角→半角lower"
1,literal,ｓ,s,outside,,"全角→半角lower"
1,literal,ｔ,t,outside,,"全角→半角lower"
1,literal,ｕ,u,outside,,"全角→半角lower"
1,literal,ｖ,v,outside,,"全角→半角lower"
1,literal,ｗ,w,outside,,"全角→半角lower"
1,literal,ｘ,x,outside,,"全角→半角lower"
1,literal,ｙ,y,outside,,"全角→半角lower"
1,literal,ｚ,z,outside,,"全角→半角lower"
